05978	奸	CJK UNIFIED IDEOGRAPH-5978
0673d	朽	CJK UNIFIED IDEOGRAPH-673D
05207	切	CJK UNIFIED IDEOGRAPH-5207
052ff	勿	CJK UNIFIED IDEOGRAPH-52FF
06068	恨	CJK UNIFIED IDEOGRAPH-6068
07d9b	綛	CJK UNIFIED IDEOGRAPH-7D9B
0937e	鍾	CJK UNIFIED IDEOGRAPH-937E
067d1	柑	CJK UNIFIED IDEOGRAPH-67D1
07d8f	綏	CJK UNIFIED IDEOGRAPH-7D8F
087ef	蟯	CJK UNIFIED IDEOGRAPH-87EF
05b9a	定	CJK UNIFIED IDEOGRAPH-5B9A
052d8	勘	CJK UNIFIED IDEOGRAPH-52D8
08737	蜷	CJK UNIFIED IDEOGRAPH-8737
0520a	刊	CJK UNIFIED IDEOGRAPH-520A
080b2	育	CJK UNIFIED IDEOGRAPH-80B2
067ec	柬	CJK UNIFIED IDEOGRAPH-67EC
08079	聹	CJK UNIFIED IDEOGRAPH-8079
05b83	它	CJK UNIFIED IDEOGRAPH-5B83
05b97	宗	CJK UNIFIED IDEOGRAPH-5B97
0557c	啼	CJK UNIFIED IDEOGRAPH-557C
087e0	蟠	CJK UNIFIED IDEOGRAPH-87E0
080c6	胆	CJK UNIFIED IDEOGRAPH-80C6
06726	朦	CJK UNIFIED IDEOGRAPH-6726
07b4c	筌	CJK UNIFIED IDEOGRAPH-7B4C
09ef9	黹	CJK UNIFIED IDEOGRAPH-9EF9
0887f	衿	CJK UNIFIED IDEOGRAPH-887F
09b54	魔	CJK UNIFIED IDEOGRAPH-9B54
06f01	漁	CJK UNIFIED IDEOGRAPH-6F01
08aa1	誡	CJK UNIFIED IDEOGRAPH-8AA1
07e2e	縮	CJK UNIFIED IDEOGRAPH-7E2E
08f1f	輟	CJK UNIFIED IDEOGRAPH-8F1F
05c08	專	CJK UNIFIED IDEOGRAPH-5C08
05c3b	尻	CJK UNIFIED IDEOGRAPH-5C3B
06f15	漕	CJK UNIFIED IDEOGRAPH-6F15
06ab8	檸	CJK UNIFIED IDEOGRAPH-6AB8
068ad	梭	CJK UNIFIED IDEOGRAPH-68AD
07bc6	篆	CJK UNIFIED IDEOGRAPH-7BC6
07e3a	縺	CJK UNIFIED IDEOGRAPH-7E3A
08f38	輸	CJK UNIFIED IDEOGRAPH-8F38
08a6d	詭	CJK UNIFIED IDEOGRAPH-8A6D
0886b	衫	CJK UNIFIED IDEOGRAPH-886B
07b45	筅	CJK UNIFIED IDEOGRAPH-7B45
06ff6	濶	CJK UNIFIED IDEOGRAPH-6FF6
09ee5	黥	CJK UNIFIED IDEOGRAPH-9EE5
08870	衰	CJK UNIFIED IDEOGRAPH-8870
05d52	嵒	CJK UNIFIED IDEOGRAPH-5D52
05dcc	巌	CJK UNIFIED IDEOGRAPH-5DCC
07e23	縣	CJK UNIFIED IDEOGRAPH-7E23
068a2	梢	CJK UNIFIED IDEOGRAPH-68A2
07e37	縷	CJK UNIFIED IDEOGRAPH-7E37
05c20	尠	CJK UNIFIED IDEOGRAPH-5C20
05398	厘	CJK UNIFIED IDEOGRAPH-5398
08a62	詢	CJK UNIFIED IDEOGRAPH-8A62
0687c	桼	CJK UNIFIED IDEOGRAPH-687C
07b51	筑	CJK UNIFIED IDEOGRAPH-7B51
06691	暑	CJK UNIFIED IDEOGRAPH-6691
09ed1	黑	CJK UNIFIED IDEOGRAPH-9ED1
09b4f	魏	CJK UNIFIED IDEOGRAPH-9B4F
09b97	鮗	CJK UNIFIED IDEOGRAPH-9B97
072fc	狼	CJK UNIFIED IDEOGRAPH-72FC
072e9	狩	CJK UNIFIED IDEOGRAPH-72E9
08a89	誉	CJK UNIFIED IDEOGRAPH-8A89
07564	畤	CJK UNIFIED IDEOGRAPH-7564
05373	即	CJK UNIFIED IDEOGRAPH-5373
08131	脱	CJK UNIFIED IDEOGRAPH-8131
095a2	関	CJK UNIFIED IDEOGRAPH-95A2
0921e	鈞	CJK UNIFIED IDEOGRAPH-921E
06108	愈	CJK UNIFIED IDEOGRAPH-6108
05401	吁	CJK UNIFIED IDEOGRAPH-5401
05d8c	嶌	CJK UNIFIED IDEOGRAPH-5D8C
0665d	晝	CJK UNIFIED IDEOGRAPH-665D
061e3	懣	CJK UNIFIED IDEOGRAPH-61E3
09b83	鮃	CJK UNIFIED IDEOGRAPH-9B83
07b9d	箝	CJK UNIFIED IDEOGRAPH-7B9D
07570	異	CJK UNIFIED IDEOGRAPH-7570
07b86	箆	CJK UNIFIED IDEOGRAPH-7B86
0756b	畫	CJK UNIFIED IDEOGRAPH-756B
0865a	虚	CJK UNIFIED IDEOGRAPH-865A
0720d	爍	CJK UNIFIED IDEOGRAPH-720D
095ad	閭	CJK UNIFIED IDEOGRAPH-95AD
05429	吩	CJK UNIFIED IDEOGRAPH-5429
06134	愴	CJK UNIFIED IDEOGRAPH-6134
06652	晒	CJK UNIFIED IDEOGRAPH-6652
09b8e	鮎	CJK UNIFIED IDEOGRAPH-9B8E
07b92	箒	CJK UNIFIED IDEOGRAPH-7B92
0757f	畿	CJK UNIFIED IDEOGRAPH-757F
0864e	虎	CJK UNIFIED IDEOGRAPH-864E
04eac	京	CJK UNIFIED IDEOGRAPH-4EAC
06dfb	添	CJK UNIFIED IDEOGRAPH-6DFB
06de8	淨	CJK UNIFIED IDEOGRAPH-6DE8
08c48	豈	CJK UNIFIED IDEOGRAPH-8C48
09950	饐	CJK UNIFIED IDEOGRAPH-9950
05ae1	嫡	CJK UNIFIED IDEOGRAPH-5AE1
058d3	壓	CJK UNIFIED IDEOGRAPH-58D3
0649e	撞	CJK UNIFIED IDEOGRAPH-649E
08482	蒂	CJK UNIFIED IDEOGRAPH-8482
06d17	洗	CJK UNIFIED IDEOGRAPH-6D17
05fb3	徳	CJK UNIFIED IDEOGRAPH-5FB3
08cae	貮	CJK UNIFIED IDEOGRAPH-8CAE
05a36	娶	CJK UNIFIED IDEOGRAPH-5A36
04ea5	亥	CJK UNIFIED IDEOGRAPH-4EA5
05830	堰	CJK UNIFIED IDEOGRAPH-5830
07941	祁	CJK UNIFIED IDEOGRAPH-7941
07955	祕	CJK UNIFIED IDEOGRAPH-7955
06493	撓	CJK UNIFIED IDEOGRAPH-6493
0994b	饋	CJK UNIFIED IDEOGRAPH-994B
058de	壞	CJK UNIFIED IDEOGRAPH-58DE
05824	堤	CJK UNIFIED IDEOGRAPH-5824
099b3	馳	CJK UNIFIED IDEOGRAPH-99B3
097a0	鞠	CJK UNIFIED IDEOGRAPH-97A0
084cd	蓍	CJK UNIFIED IDEOGRAPH-84CD
05617	嘗	CJK UNIFIED IDEOGRAPH-5617
05171	共	CJK UNIFIED IDEOGRAPH-5171
05f9e	從	CJK UNIFIED IDEOGRAPH-5F9E
07766	睦	CJK UNIFIED IDEOGRAPH-7766
083eb	菫	CJK UNIFIED IDEOGRAPH-83EB
0798d	禍	CJK UNIFIED IDEOGRAPH-798D
06478	摸	CJK UNIFIED IDEOGRAPH-6478
0977a	靺	CJK UNIFIED IDEOGRAPH-977A
083df	菟	CJK UNIFIED IDEOGRAPH-83DF
063e1	握	CJK UNIFIED IDEOGRAPH-63E1
05f8a	徊	CJK UNIFIED IDEOGRAPH-5F8A
09039	逹	CJK UNIFIED IDEOGRAPH-9039
064c7	擇	CJK UNIFIED IDEOGRAPH-64C7
077b9	瞹	CJK UNIFIED IDEOGRAPH-77B9
077ac	瞬	CJK UNIFIED IDEOGRAPH-77AC
051a6	冦	CJK UNIFIED IDEOGRAPH-51A6
09011	逑	CJK UNIFIED IDEOGRAPH-9011
0700f	瀏	CJK UNIFIED IDEOGRAPH-700F
08469	葩	CJK UNIFIED IDEOGRAPH-8469
05f93	従	CJK UNIFIED IDEOGRAPH-5F93
0516c	公	CJK UNIFIED IDEOGRAPH-516C
05f87	徇	CJK UNIFIED IDEOGRAPH-5F87
04e99	亙	CJK UNIFIED IDEOGRAPH-4E99
090fd	都	CJK UNIFIED IDEOGRAPH-90FD
09005	逅	CJK UNIFIED IDEOGRAPH-9005
097c8	韈	CJK UNIFIED IDEOGRAPH-97C8
077a5	瞥	CJK UNIFIED IDEOGRAPH-77A5
0701b	瀛	CJK UNIFIED IDEOGRAPH-701B
06451	摑	CJK UNIFIED IDEOGRAPH-6451
0777e	睾	CJK UNIFIED IDEOGRAPH-777E
04e98	亘	CJK UNIFIED IDEOGRAPH-4E98
09010	逐	CJK UNIFIED IDEOGRAPH-9010
05f92	徒	CJK UNIFIED IDEOGRAPH-5F92
063db	換	CJK UNIFIED IDEOGRAPH-63DB
0845b	葛	CJK UNIFIED IDEOGRAPH-845B
0976d	靭	CJK UNIFIED IDEOGRAPH-976D
07015	瀕	CJK UNIFIED IDEOGRAPH-7015
09038	逸	CJK UNIFIED IDEOGRAPH-9038
0900b	逋	CJK UNIFIED IDEOGRAPH-900B
0633a	挺	CJK UNIFIED IDEOGRAPH-633A
05616	嘖	CJK UNIFIED IDEOGRAPH-5616
051aa	冪	CJK UNIFIED IDEOGRAPH-51AA
08332	茲	CJK UNIFIED IDEOGRAPH-8332
07001	瀁	CJK UNIFIED IDEOGRAPH-7001
064b2	撲	CJK UNIFIED IDEOGRAPH-64B2
0901f	速	CJK UNIFIED IDEOGRAPH-901F
0798e	禎	CJK UNIFIED IDEOGRAPH-798E
08c61	象	CJK UNIFIED IDEOGRAPH-8C61
0994c	饌	CJK UNIFIED IDEOGRAPH-994C
08dff	跿	CJK UNIFIED IDEOGRAPH-8DFF
06492	撒	CJK UNIFIED IDEOGRAPH-6492
08d07	贇	CJK UNIFIED IDEOGRAPH-8D07
05fbd	徽	CJK UNIFIED IDEOGRAPH-5FBD
05831	報	CJK UNIFIED IDEOGRAPH-5831
04ea4	交	CJK UNIFIED IDEOGRAPH-4EA4
079ba	禺	CJK UNIFIED IDEOGRAPH-79BA
099c6	駆	CJK UNIFIED IDEOGRAPH-99C6
08cad	貭	CJK UNIFIED IDEOGRAPH-8CAD
08d13	贓	CJK UNIFIED IDEOGRAPH-8D13
06df5	淵	CJK UNIFIED IDEOGRAPH-6DF5
07940	祀	CJK UNIFIED IDEOGRAPH-7940
04e7e	乾	CJK UNIFIED IDEOGRAPH-4E7E
09945	饅	CJK UNIFIED IDEOGRAPH-9945
06c70	汰	CJK UNIFIED IDEOGRAPH-6C70
07968	票	CJK UNIFIED IDEOGRAPH-7968
05f79	役	CJK UNIFIED IDEOGRAPH-5F79
05f4c	彌	CJK UNIFIED IDEOGRAPH-5F4C
05819	堙	CJK UNIFIED IDEOGRAPH-5819
08d0a	贊	CJK UNIFIED IDEOGRAPH-8D0A
08ca2	貢	CJK UNIFIED IDEOGRAPH-8CA2
04eab	享	CJK UNIFIED IDEOGRAPH-4EAB
04e73	乳	CJK UNIFIED IDEOGRAPH-4E73
09951	饑	CJK UNIFIED IDEOGRAPH-9951
08c7c	豼	CJK UNIFIED IDEOGRAPH-8C7C
0540f	吏	CJK UNIFIED IDEOGRAPH-540F
05d84	嶄	CJK UNIFIED IDEOGRAPH-5D84
0864d	虍	CJK UNIFIED IDEOGRAPH-864D
081d3	臓	CJK UNIFIED IDEOGRAPH-81D3
07559	留	CJK UNIFIED IDEOGRAPH-7559
07b87	箇	CJK UNIFIED IDEOGRAPH-7B87
081e7	臧	CJK UNIFIED IDEOGRAPH-81E7
05d90	嶐	CJK UNIFIED IDEOGRAPH-5D90
053a5	厥	CJK UNIFIED IDEOGRAPH-53A5
0541b	君	CJK UNIFIED IDEOGRAPH-541B
06121	愡	CJK UNIFIED IDEOGRAPH-6121
0613c	愼	CJK UNIFIED IDEOGRAPH-613C
06109	愉	CJK UNIFIED IDEOGRAPH-6109
066c4	曄	CJK UNIFIED IDEOGRAPH-66C4
086a9	蚩	CJK UNIFIED IDEOGRAPH-86A9
0665e	晞	CJK UNIFIED IDEOGRAPH-665E
05366	卦	CJK UNIFIED IDEOGRAPH-5366
054fa	哺	CJK UNIFIED IDEOGRAPH-54FA
05d8b	嶋	CJK UNIFIED IDEOGRAPH-5D8B
07565	略	CJK UNIFIED IDEOGRAPH-7565
081ea	自	CJK UNIFIED IDEOGRAPH-81EA
09b96	鮖	CJK UNIFIED IDEOGRAPH-9B96
095a3	閣	CJK UNIFIED IDEOGRAPH-95A3
08f05	輅	CJK UNIFIED IDEOGRAPH-8F05
09ed0	黐	CJK UNIFIED IDEOGRAPH-9ED0
08ffd	追	CJK UNIFIED IDEOGRAPH-8FFD
07b50	筐	CJK UNIFIED IDEOGRAPH-7B50
08a63	詣	CJK UNIFIED IDEOGRAPH-8A63
06848	案	CJK UNIFIED IDEOGRAPH-6848
05ced	峭	CJK UNIFIED IDEOGRAPH-5CED
06684	暄	CJK UNIFIED IDEOGRAPH-6684
07e22	縢	CJK UNIFIED IDEOGRAPH-7E22
06f0f	漏	CJK UNIFIED IDEOGRAPH-6F0F
08f39	輹	CJK UNIFIED IDEOGRAPH-8F39
08f0c	輌	CJK UNIFIED IDEOGRAPH-8F0C
07bc7	篇	CJK UNIFIED IDEOGRAPH-7BC7
06aac	檬	CJK UNIFIED IDEOGRAPH-6AAC
06f14	演	CJK UNIFIED IDEOGRAPH-6F14
09b41	魁	CJK UNIFIED IDEOGRAPH-9B41
06a72	橲	CJK UNIFIED IDEOGRAPH-6A72
08859	衙	CJK UNIFIED IDEOGRAPH-8859
08a6e	詮	CJK UNIFIED IDEOGRAPH-8A6E
06874	桴	CJK UNIFIED IDEOGRAPH-6874
06a66	橦	CJK UNIFIED IDEOGRAPH-6A66
06ffa	濺	CJK UNIFIED IDEOGRAPH-6FFA
08695	蚕	CJK UNIFIED IDEOGRAPH-8695
07b4b	筋	CJK UNIFIED IDEOGRAPH-7B4B
05c3c	尼	CJK UNIFIED IDEOGRAPH-5C3C
05c09	尉	CJK UNIFIED IDEOGRAPH-5C09
08aa0	誠	CJK UNIFIED IDEOGRAPH-8AA0
0805f	聟	CJK UNIFIED IDEOGRAPH-805F
074f2	瓲	CJK UNIFIED IDEOGRAPH-74F2
06041	恁	CJK UNIFIED IDEOGRAPH-6041
0557b	啻	CJK UNIFIED IDEOGRAPH-557B
0521d	初	CJK UNIFIED IDEOGRAPH-521D
09414	鐔	CJK UNIFIED IDEOGRAPH-9414
06727	朧	CJK UNIFIED IDEOGRAPH-6727
093ac	鎬	CJK UNIFIED IDEOGRAPH-93AC
093b9	鎹	CJK UNIFIED IDEOGRAPH-93B9
0737a	獺	CJK UNIFIED IDEOGRAPH-737A
06055	恕	CJK UNIFIED IDEOGRAPH-6055
052d9	務	CJK UNIFIED IDEOGRAPH-52D9
07363	獣	CJK UNIFIED IDEOGRAPH-7363
067d0	某	CJK UNIFIED IDEOGRAPH-67D0
0672a	未	CJK UNIFIED IDEOGRAPH-672A
060b6	悶	CJK UNIFIED IDEOGRAPH-60B6
073c8	珈	CJK UNIFIED IDEOGRAPH-73C8
07405	琅	CJK UNIFIED IDEOGRAPH-7405
055ae	單	CJK UNIFIED IDEOGRAPH-55AE
05206	分	CJK UNIFIED IDEOGRAPH-5206
07d9c	綜	CJK UNIFIED IDEOGRAPH-7D9C
067e4	柤	CJK UNIFIED IDEOGRAPH-67E4
06069	恩	CJK UNIFIED IDEOGRAPH-6069
05b8d	宍	CJK UNIFIED IDEOGRAPH-5B8D
05ef8	廸	CJK UNIFIED IDEOGRAPH-5EF8
05b55	孕	CJK UNIFIED IDEOGRAPH-5B55
09d5e	鵞	CJK UNIFIED IDEOGRAPH-9D5E
07cde	糞	CJK UNIFIED IDEOGRAPH-7CDE
07d42	終	CJK UNIFIED IDEOGRAPH-7D42
0690f	椏	CJK UNIFIED IDEOGRAPH-690F
09dc4	鷄	CJK UNIFIED IDEOGRAPH-9DC4
09c09	鰉	CJK UNIFIED IDEOGRAPH-9C09
05e33	帳	CJK UNIFIED IDEOGRAPH-5E33
0691b	椛	CJK UNIFIED IDEOGRAPH-691B
06928	椨	CJK UNIFIED IDEOGRAPH-6928
06096	悖	CJK UNIFIED IDEOGRAPH-6096
07d56	絖	CJK UNIFIED IDEOGRAPH-7D56
05edf	廟	CJK UNIFIED IDEOGRAPH-5EDF
0608d	悍	CJK UNIFIED IDEOGRAPH-608D
08093	肓	CJK UNIFIED IDEOGRAPH-8093
05b5c	孜	CJK UNIFIED IDEOGRAPH-5B5C
05b69	孩	CJK UNIFIED IDEOGRAPH-5B69
05bc2	寂	CJK UNIFIED IDEOGRAPH-5BC2
04f11	休	CJK UNIFIED IDEOGRAPH-4F11
06900	椀	CJK UNIFIED IDEOGRAPH-6900
07c2b	簫	CJK UNIFIED IDEOGRAPH-7C2B
07db5	綵	CJK UNIFIED IDEOGRAPH-7DB5
07c3f	簿	CJK UNIFIED IDEOGRAPH-7C3F
09c21	鰡	CJK UNIFIED IDEOGRAPH-9C21
0890c	褌	CJK UNIFIED IDEOGRAPH-890C
05bb6	家	CJK UNIFIED IDEOGRAPH-5BB6
05ed0	廐	CJK UNIFIED IDEOGRAPH-5ED0
07ce7	糧	CJK UNIFIED IDEOGRAPH-7CE7
08087	肇	CJK UNIFIED IDEOGRAPH-8087
082c5	苅	CJK UNIFIED IDEOGRAPH-82C5
091aa	醪	CJK UNIFIED IDEOGRAPH-91AA
062bb	抻	CJK UNIFIED IDEOGRAPH-62BB
0501f	借	CJK UNIFIED IDEOGRAPH-501F
09f9d	龝	CJK UNIFIED IDEOGRAPH-9F9D
07f83	羃	CJK UNIFIED IDEOGRAPH-7F83
0825d	艝	CJK UNIFIED IDEOGRAPH-825D
096e9	雩	CJK UNIFIED IDEOGRAPH-96E9
07149	煉	CJK UNIFIED IDEOGRAPH-7149
0500b	個	CJK UNIFIED IDEOGRAPH-500B
082b1	花	CJK UNIFIED IDEOGRAPH-82B1
062cf	拏	CJK UNIFIED IDEOGRAPH-62CF
0652c	攬	CJK UNIFIED IDEOGRAPH-652C
0624e	扎	CJK UNIFIED IDEOGRAPH-624E
065d2	旒	CJK UNIFIED IDEOGRAPH-65D2
07f8e	美	CJK UNIFIED IDEOGRAPH-7F8E
0599d	妝	CJK UNIFIED IDEOGRAPH-599D
09158	酘	CJK UNIFIED IDEOGRAPH-9158
065e6	旦	CJK UNIFIED IDEOGRAPH-65E6
07f9a	羚	CJK UNIFIED IDEOGRAPH-7F9A
07820	砠	CJK UNIFIED IDEOGRAPH-7820
06b38	欸	CJK UNIFIED IDEOGRAPH-6B38
06bf3	毳	CJK UNIFIED IDEOGRAPH-6BF3
06280	技	CJK UNIFIED IDEOGRAPH-6280
078da	磚	CJK UNIFIED IDEOGRAPH-78DA
05789	垉	CJK UNIFIED IDEOGRAPH-5789
05951	契	CJK UNIFIED IDEOGRAPH-5951
07f54	罔	CJK UNIFIED IDEOGRAPH-7F54
06294	抔	CJK UNIFIED IDEOGRAPH-6294
09ad4	體	CJK UNIFIED IDEOGRAPH-9AD4
07834	破	CJK UNIFIED IDEOGRAPH-7834
06b1f	欟	CJK UNIFIED IDEOGRAPH-6B1F
08b01	謁	CJK UNIFIED IDEOGRAPH-8B01
07a32	稲	CJK UNIFIED IDEOGRAPH-7A32
0982c	頬	CJK UNIFIED IDEOGRAPH-982C
06b04	欄	CJK UNIFIED IDEOGRAPH-6B04
09a37	騷	CJK UNIFIED IDEOGRAPH-9A37
06ec9	滉	CJK UNIFIED IDEOGRAPH-6EC9
059c6	姆	CJK UNIFIED IDEOGRAPH-59C6
09aef	髯	CJK UNIFIED IDEOGRAPH-9AEF
07f68	罨	CJK UNIFIED IDEOGRAPH-7F68
07ae5	童	CJK UNIFIED IDEOGRAPH-7AE5
0629b	抛	CJK UNIFIED IDEOGRAPH-629B
06e76	湶	CJK UNIFIED IDEOGRAPH-6E76
059b2	妲	CJK UNIFIED IDEOGRAPH-59B2
07a3d	稽	CJK UNIFIED IDEOGRAPH-7A3D
09aed	髭	CJK UNIFIED IDEOGRAPH-9AED
098eb	飫	CJK UNIFIED IDEOGRAPH-98EB
07ad3	竓	CJK UNIFIED IDEOGRAPH-7AD3
07f4d	罍	CJK UNIFIED IDEOGRAPH-7F4D
07a18	稘	CJK UNIFIED IDEOGRAPH-7A18
08b1a	謚	CJK UNIFIED IDEOGRAPH-8B1A
07a3f	稿	CJK UNIFIED IDEOGRAPH-7A3F
08b0e	謎	CJK UNIFIED IDEOGRAPH-8B0E
07fc1	翁	CJK UNIFIED IDEOGRAPH-7FC1
06b12	欒	CJK UNIFIED IDEOGRAPH-6B12
08e59	蹙	CJK UNIFIED IDEOGRAPH-8E59
06e6f	湯	CJK UNIFIED IDEOGRAPH-6E6F
06282	抂	CJK UNIFIED IDEOGRAPH-6282
09ae2	髢	CJK UNIFIED IDEOGRAPH-9AE2
08b17	謗	CJK UNIFIED IDEOGRAPH-8B17
07fa9	義	CJK UNIFIED IDEOGRAPH-7FA9
059cb	始	CJK UNIFIED IDEOGRAPH-59CB
06b1d	欝	CJK UNIFIED IDEOGRAPH-6B1D
09f4a	齊	CJK UNIFIED IDEOGRAPH-9F4A
06296	抖	CJK UNIFIED IDEOGRAPH-6296
07188	熈	CJK UNIFIED IDEOGRAPH-7188
07aea	竪	CJK UNIFIED IDEOGRAPH-7AEA
05947	奇	CJK UNIFIED IDEOGRAPH-5947
09628	阨	CJK UNIFIED IDEOGRAPH-9628
0652a	攪	CJK UNIFIED IDEOGRAPH-652A
071c8	燈	CJK UNIFIED IDEOGRAPH-71C8
05012	倒	CJK UNIFIED IDEOGRAPH-5012
05006	倆	CJK UNIFIED IDEOGRAPH-5006
0653e	放	CJK UNIFIED IDEOGRAPH-653E
062c2	拂	CJK UNIFIED IDEOGRAPH-62C2
085dc	藜	CJK UNIFIED IDEOGRAPH-85DC
096f7	雷	CJK UNIFIED IDEOGRAPH-96F7
0716e	煮	CJK UNIFIED IDEOGRAPH-716E
0825f	艟	CJK UNIFIED IDEOGRAPH-825F
076f2	盲	CJK UNIFIED IDEOGRAPH-76F2
06241	扁	CJK UNIFIED IDEOGRAPH-6241
09172	酲	CJK UNIFIED IDEOGRAPH-9172
057a3	垣	CJK UNIFIED IDEOGRAPH-57A3
062cd	拍	CJK UNIFIED IDEOGRAPH-62CD
082b3	芳	CJK UNIFIED IDEOGRAPH-82B3
0852d	蔭	CJK UNIFIED IDEOGRAPH-852D
05984	妄	CJK UNIFIED IDEOGRAPH-5984
08278	艸	CJK UNIFIED IDEOGRAPH-8278
085d5	藕	CJK UNIFIED IDEOGRAPH-85D5
06255	払	CJK UNIFIED IDEOGRAPH-6255
0891e	褞	CJK UNIFIED IDEOGRAPH-891E
05b5a	孚	CJK UNIFIED IDEOGRAPH-5B5A
04fd8	俘	CJK UNIFIED IDEOGRAPH-4FD8
07d4f	絏	CJK UNIFIED IDEOGRAPH-7D4F
09d51	鵑	CJK UNIFIED IDEOGRAPH-9D51
07d5b	絛	CJK UNIFIED IDEOGRAPH-7D5B
